Country,City,Temp,Lat,Lon,Humidity,Cloudiness,Wind Speed
,,-7.8,92.4,92.4,75.0,64.0,3.26
,,,,,,,
,,12.55,-124.16,-124.16,76.0,1.0,6.7
,,11.26,-73.76,-73.76,86.0,0.0,2.31
,,20.13,174.5,174.5,100.0,0.0,2.86
,,23.88,123.06,123.06,100.0,80.0,0.66
,,-11.0,-114.38,-114.38,47.0,20.0,4.1
,,23.0,46.72,46.72,25.0,75.0,2.6
,,,,,,,
,,16.0,147.33,147.33,59.0,75.0,7.7
,,23.73,-5.72,-5.72,100.0,80.0,7.26
,,,,,,,
,,25.55,-156.68,-156.68,73.0,75.0,3.1
,,0.88,52.85,52.85,83.0,0.0,5.31
,,27.88,-151.75,-151.75,100.0,64.0,6.66
,,,,,,,
,,17.41,169.85,169.85,77.0,24.0,3.11
,,15.47,140.83,140.83,82.0,0.0,2.1
,,27.66,-139.03,-139.03,100.0,0.0,5.71
,,23.81,-71.14,-71.14,100.0,32.0,8.26
,,13.31,19.24,19.24,91.0,0.0,0.76
,,-4.0,-51.1,-51.1,58.0,0.0,1.0
,,28.63,72.64,72.64,100.0,56.0,1.16
,,26.66,113.61,113.61,100.0,44.0,1.46
,,10.0,-69.22,-69.22,76.0,75.0,7.2
,,16.37,-120.46,-120.46,82.0,90.0,3.1
,,-1.95,156.12,156.12,100.0,56.0,3.31
,,1.58,-49.67,-49.67,81.0,8.0,3.36
,,2.0,-161.76,-161.76,80.0,1.0,6.2
,,13.13,117.88,117.88,89.0,0.0,2.66
,,0.31,179.32,179.32,96.0,8.0,3.76
,,-1.95,156.12,156.12,100.0,56.0,3.31
,,25.07,55.77,55.77,78.0,0.0,2.1
,,12.26,130.37,130.37,70.0,64.0,6.71
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,16.0,147.33,147.33,59.0,75.0,7.7
,,20.63,-56.07,-56.07,94.0,48.0,0.96
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,20.0,25.57,25.57,94.0,40.0,2.6
,,28.0,13.24,13.24,78.0,75.0,2.1
,,-6.45,-56.15,-56.15,87.0,56.0,4.01
,,7.81,102.25,102.25,90.0,36.0,0.86
,,14.0,-73.12,-73.12,87.0,0.0,3.6
,,2.0,-52.73,-52.73,55.0,90.0,6.2
,,1.0,-173.23,-173.23,86.0,90.0,3.0
,,,,,,,
,,24.51,60.65,60.65,97.0,0.0,2.61
,,19.0,20.04,20.04,88.0,68.0,2.1
,,16.0,147.06,147.06,59.0,75.0,7.7
,,27.0,-81.11,-81.11,65.0,0.0,4.1
,,28.38,117.15,117.15,56.0,36.0,2.06
,,27.38,164.02,164.02,98.0,92.0,6.61
,,24.48,50.28,50.28,93.0,56.0,3.76
,,24.21,27.91,27.91,100.0,44.0,9.31
,,,,,,,
,,1.75,37.97,37.97,93.0,75.0,7.0
,,,,,,,
,,,,,,,
,,-17.25,128.87,128.87,71.0,64.0,1.31
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,16.0,147.33,147.33,59.0,75.0,7.7
,,2.0,-161.76,-161.76,80.0,1.0,6.2
,,,,,,,
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,2.0,-52.73,-52.73,55.0,90.0,6.2
,,22.96,-51.99,-51.99,98.0,12.0,0.61
,,22.0,-91.92,-91.92,94.0,90.0,1.16
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,-1.5,161.3,161.3,76.0,0.0,3.66
,,-3.0,-94.76,-94.76,79.0,90.0,3.1
,,18.91,167.69,167.69,78.0,20.0,7.61
,,27.46,169.27,169.27,99.0,64.0,8.01
,,15.71,115.35,115.35,100.0,0.0,7.96
,,28.0,-175.2,-175.2,78.0,75.0,2.1
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,22.26,26.89,26.89,90.0,32.0,6.26
,,,,,,,
,,15.56,12.92,12.92,37.0,0.0,1.21
,,16.0,147.06,147.06,59.0,75.0,7.7
,,20.0,25.57,25.57,94.0,40.0,2.6
,,16.55,133.65,133.65,77.0,0.0,2.1
,,25.54,-159.32,-159.32,83.0,40.0,2.6
,,26.66,-14.42,-14.42,100.0,8.0,5.96
,,28.0,-38.6,-38.6,83.0,40.0,3.1
,,-12.2,-133.03,-133.03,85.0,90.0,13.4
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,20.0,25.57,25.57,94.0,40.0,2.6
,,,,,,,
,,-8.2,29.09,29.09,100.0,64.0,1.56
,,16.0,134.5,134.5,77.0,0.0,2.1
,,30.61,134.23,134.23,73.0,0.0,2.06
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,24.0,148.25,148.25,100.0,90.0,5.7
,,20.86,173.16,173.16,77.0,0.0,2.01
,,16.0,147.06,147.06,59.0,75.0,7.7
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,29.76,73.08,73.08,99.0,88.0,3.91
,,11.0,-70.91,-70.91,81.0,90.0,8.2
,,26.0,130.99,130.99,29.0,0.0,5.7
,,25.07,55.77,55.77,78.0,0.0,2.1
,,11.28,-72.92,-72.92,34.0,75.0,4.1
,,16.0,-17.1,-17.1,77.0,20.0,2.1
,,26.0,-90.35,-90.35,78.0,40.0,7.2
,,-23.65,88.39,88.39,70.0,44.0,6.46
,,21.0,150.48,150.48,64.0,90.0,3.6
,,26.48,113.63,113.63,94.0,0.0,4.86
,,27.81,-7.71,-7.71,100.0,88.0,4.66
,,16.0,147.33,147.33,59.0,75.0,7.7
,,22.26,26.89,26.89,90.0,32.0,6.26
,,17.58,168.33,168.33,83.0,48.0,7.86
,,,,,,,
,,-6.45,-56.15,-56.15,87.0,56.0,4.01
,,,,,,,
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,-6.45,-56.15,-56.15,87.0,56.0,4.01
,,13.31,19.24,19.24,91.0,0.0,0.76
,,24.21,27.91,27.91,100.0,44.0,9.31
,,2.0,-161.76,-161.76,80.0,1.0,6.2
,,2.0,30.79,30.79,69.0,90.0,7.0
,,-14.1,80.55,80.55,79.0,76.0,5.56
,,22.56,-47.06,-47.06,99.0,80.0,1.46
,,,,,,,
,,20.0,25.57,25.57,94.0,40.0,2.6
,,-4.0,-51.1,-51.1,58.0,0.0,1.0
,,2.0,30.79,30.79,69.0,90.0,7.0
,,18.29,-121.89,-121.89,59.0,1.0,4.1
,,-3.2,178.42,178.42,94.0,0.0,2.86
,,23.0,-91.21,-91.21,64.0,1.0,4.6
,,15.71,115.35,115.35,100.0,0.0,7.96
,,-8.5,57.31,57.31,80.0,80.0,1.26
,,,,,,,
,,-6.45,-56.15,-56.15,87.0,56.0,4.01
,,24.0,77.04,77.04,53.0,0.0,2.6
,,23.0,-76.2,-76.2,69.0,0.0,6.2
,,27.0,54.1,54.1,83.0,75.0,1.5
,,-9.0,-135.01,-135.01,66.0,90.0,9.3
,,,,,,,
,,21.91,149.98,149.98,62.0,68.0,1.66
,,,,,,,
,,-2.0,59.15,59.15,74.0,90.0,7.0
,,17.58,168.33,168.33,83.0,48.0,7.86
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,,,,,,
,,28.0,-38.6,-38.6,83.0,40.0,3.1
,,29.26,161.92,161.92,100.0,64.0,5.46
,,-12.17,79.57,79.57,80.0,0.0,0.86
,,,,,,,
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,25.63,-8.41,-8.41,66.0,56.0,1.61
,,,,,,,
,,28.0,-175.2,-175.2,78.0,75.0,2.1
,,25.07,55.77,55.77,78.0,0.0,2.1
,,,,,,,
,,16.0,147.06,147.06,59.0,75.0,7.7
,,29.76,73.08,73.08,99.0,88.0,3.91
,,23.74,-94.42,-94.42,64.0,75.0,3.6
,,25.09,55.62,55.62,78.0,0.0,2.1
,,22.26,26.89,26.89,90.0,32.0,6.26
,,20.0,18.42,18.42,72.0,0.0,3.6
,,15.71,115.35,115.35,100.0,0.0,7.96
,,,,,,,
,,13.0,-78.13,-78.13,82.0,75.0,2.6
,,22.73,95.32,95.32,100.0,12.0,0.96
,,18.38,22.7,22.7,73.0,0.0,5.11
,,-1.5,161.3,161.3,76.0,0.0,3.66
,,15.46,-119.86,-119.86,82.0,90.0,4.1
,,11.69,-107.24,-107.24,20.0,1.0,13.4
,,-12.27,-69.36,-69.36,87.0,80.0,0.71
,,26.48,113.63,113.63,94.0,0.0,4.86
,,27.66,-139.03,-139.03,100.0,0.0,5.71
,,-4.71,-94.89,-94.89,49.0,1.0,6.2
,,26.73,165.5,165.5,72.0,76.0,3.21
,,26.58,50.17,50.17,100.0,56.0,5.46
,,19.86,-114.04,-114.04,56.0,0.0,4.86
,,,,,,,
,,-3.0,-94.76,-94.76,79.0,90.0,3.1
,,,,,,,
,,-11.0,-114.38,-114.38,47.0,20.0,4.1
,,19.36,108.11,108.11,92.0,24.0,0.71
,,,,,,,
,,21.66,-24.5,-24.5,95.0,0.0,7.46
,,23.97,-59.98,-59.98,88.0,75.0,4.6
,,12.0,38.65,38.65,40.0,0.0,3.1
,,17.41,-28.7,-28.7,96.0,76.0,11.16
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,28.0,-155.08,-155.08,65.0,1.0,8.7
,,-10.75,77.31,77.31,80.0,48.0,5.41
,,13.13,117.88,117.88,89.0,0.0,2.66
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,25.48,120.26,120.26,95.0,12.0,1.81
,,14.0,-8.45,-8.45,71.0,0.0,3.1
,,15.71,115.35,115.35,100.0,0.0,7.96
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,26.23,-134.97,-134.97,100.0,0.0,2.86
,,-12.2,-133.03,-133.03,85.0,90.0,13.4
,,,,,,,
,,8.0,-68.31,-68.31,87.0,75.0,5.7
,,22.73,95.32,95.32,100.0,12.0,0.96
,,22.96,-51.99,-51.99,98.0,12.0,0.61
,,13.13,117.88,117.88,89.0,0.0,2.66
,,-5.0,-80.69,-80.69,57.0,75.0,2.6
,,24.16,153.57,153.57,100.0,88.0,3.46
,,25.88,-42.02,-42.02,84.0,36.0,10.06
,,,,,,,
,,17.0,17.94,17.94,88.0,48.0,2.1
,,24.83,-57.87,-57.87,90.0,92.0,3.51
,,29.61,150.67,150.67,97.0,12.0,4.46
,,23.73,-5.72,-5.72,100.0,80.0,7.26
,,-7.0,82.85,82.85,85.0,75.0,4.0
,,13.08,106.92,106.92,92.0,20.0,1.21
,,,,,,,
,,16.98,-67.52,-67.52,51.0,0.0,3.71
,,-19.75,147.9,147.9,78.0,0.0,1.56
,,20.0,25.57,25.57,94.0,40.0,2.6
,,,,,,,
,,8.84,-122.37,-122.37,100.0,75.0,3.1
,,26.46,12.15,12.15,100.0,0.0,3.06
,,18.23,24.73,24.73,89.0,48.0,3.86
